datetime,author,message,superChat
2025-05-30 14:17:11,Fikrət Məhərrəmli,sa,
2025-05-30 14:17:11,Masienth,@SabunYağızcıOğlu maliyeten kontrole geldikleri için mici kapattı,
2025-05-30 14:17:12,Dogus,bende şikayet sanmıyorum,
2025-05-30 14:17:16,Uğur,vergici :),
2025-05-30 14:17:16,madenci,2 milyon tl vergi borcu çıktı,
2025-05-30 14:17:19,SS,Bence maliyeye RDR satışı pazarlığı yapıyor,
2025-05-30 14:17:23,Emre Savas,ne gzl bereketli bir iş yeri,
2025-05-30 14:17:26,games hack,valla maliye isi bos is. koskoca firmalara giden yok hani anca gariban esnfalrla mi ülke kalkıncak,
2025-05-30 14:17:28,Fırat Altunok,olay ne,
2025-05-30 14:17:34,@burak,yaman korkmaz geldi,
2025-05-30 14:17:34,Polat Alemdar,yiğit tv ilan var mı,
2025-05-30 14:17:37,Gündoğan Yiğit,Chat sözde mali müşavir doldu herkes bilmişşş,
2025-05-30 14:17:39,Dogus,eski dükkanda satış yoktu hiç,
2025-05-30 14:17:40,doğruyoldayız,esnaf üzgün ,
2025-05-30 14:17:44,Benjamin Linus,Chat şikayet yok. Bu tür yorumlar yazmayın!,
2025-05-30 14:17:51,Muhamet ,satılık PlayStation 5 pro,
2025-05-30 14:17:52,Hamit Mert Çetinkaya,Maliyecinin elinde mühür gördüm mühürleniyor mu dükkan ,
2025-05-30 14:17:57,Berke Kars,esnaf tedirgin,
2025-05-30 14:17:57,SS,admin süper,
2025-05-30 14:17:58,Ccy,Maliye müfettişleri geldi,
2025-05-30 14:18:03,FeSLi🇹🇷KoMuTaN,esnafa baskin,
2025-05-30 14:18:04,Madness™ 정 / Furkan,okiii dokii 10000 tl ceza vermem 2000 desem ne dersin,
2025-05-30 14:18:05,Fırat Altunok,maliyemi geldi,
2025-05-30 14:18:06,Mehmet Emin Ateş,ses,
2025-05-30 14:18:08,Burak Aydın,MİK kapatmak sacma degıl mı memur ıstese bıle ozel mulk ısterım kapatmam yuzunde gozukebılır sartları uymuyorsan cık gıt kanunda yerı yok.,
2025-05-30 14:18:11,Yiğit Esat Özcan,ps pro fiyat ,
2025-05-30 14:18:12,@burak,İlyas Çakırbeyli geldi,
2025-05-30 14:18:13,Dogus,bitirdiler esnafligi ya,
2025-05-30 14:18:15,Tilki,Maliyecilere Fifa sat abi,
2025-05-30 14:18:16,Paslı Gitar Teli,@Dogus eski dükkan yok ki satış olsun,
2025-05-30 14:18:21,Çağlar Sönmez Akmeşe,cimerden şikayet gelmiş,
2025-05-30 14:18:22,Muro Tan,Bu adamın açığı yoktur her şey şeffaf,
2025-05-30 14:18:24,ortash,dükkanda ot yakalanmış mühürleniyor ,
2025-05-30 14:18:28,Memati Çakır,Bu dükkan büyük şirketlerden daha çok vergi ödüyor ama kazanç konusunda yanına yaklaşamaz,
2025-05-30 14:18:29,Ayaz,abi sees,
2025-05-30 14:18:30,BIG YASUO,ses,
2025-05-30 14:18:32,Ramazan Oğuz ESEN,MALİ POLİS BASKIN YAPTI,
2025-05-30 14:18:33,PERKSET,@Muro Tan Aynen öyle,
2025-05-30 14:18:36,aemin,pop kek ikramı,
2025-05-30 14:18:40,Ccy,Mik kapatmak zorunda değil evet. Kamera çevirse yeter,
2025-05-30 14:18:41,Mustafa GÜNER,sesi kendi kapatti,
2025-05-30 14:18:44,Erkan Ayyildiz,Olm ,
2025-05-30 14:18:45,SS,Bu adam zaten fatura kesmiyo mu abi,
2025-05-30 14:18:46,has hacip,baş sallıyor,
2025-05-30 14:18:47,Yiğit Esat Özcan,ses,
2025-05-30 14:18:53,Berke Tayançlı,Ses,
2025-05-30 14:18:54,Can,Biz bitti demeden bu yayında bu Taner ışıldak sevdası da bitmez,
2025-05-30 14:18:54,@burak,Hızır Çakırbeyli geldi,
2025-05-30 14:18:56,Dogus,gider pusulası bu yüzden arkadaşlar,
2025-05-30 14:18:56,Muhamet ,35 k yanında 5 CD var,
2025-05-30 14:18:56,Abdulkadir Akçadağ,Ggg,
2025-05-30 14:18:59,Sacid Burhan,"@games hack vergi levhası olan herkes(işletme) denetime tabiidir, boş boş konuşma",
2025-05-30 14:19:00,İsmet Taş,satılık ps4 pro var,
2025-05-30 14:19:00,BuraKarasu58,ses yok abi,
2025-05-30 14:19:01,Options00,Gülüşüm her şeyi açıklıyor,
2025-05-30 14:19:03,Emre Can Erdoğan,sıkayette olabılır ama taner abı dıkkat edıyor sorun olmaz,
2025-05-30 14:19:05,deniz han,mehmetşimek bekliyorlaar şuan,
2025-05-30 14:19:05,Mustafa GÜNER,usulüne uygun yapiyor bence sıkıntı cikmaz,
2025-05-30 14:19:07,doğruyoldayız,gülme verğisi geldi abi gülme :)),
2025-05-30 14:19:13,U R B E S T E R PM,yaş ortalaması 15 ne cahiller var chatte,
2025-05-30 14:19:16,In_Sports,Ordan oraya hareketler (çaresizlik),
2025-05-30 14:19:19,Tilki,Taner abi gayet keyifli valla,
2025-05-30 14:19:20,Mert,ses yok abi,
2025-05-30 14:19:21,Ahmet Erdal,ses mi gitti noldu,
2025-05-30 14:19:24,PITCHMAN,bende esnafım rutin denetim rahat olun,
2025-05-30 14:19:25,Bilge kağan Koç,tamam sorun yok felan dedi ceza geliyor beyler :disappointed_face: süper chete yüklenelim,
2025-05-30 14:19:27,FeSLi🇹🇷KoMuTaN,iyice gerdiler taner abimi,
2025-05-30 14:19:27,AdemCan1,Selamün Aleyküümm ses yok taner abi,
2025-05-30 14:19:35,EMRE CAN GÜMÜŞSU,SESSSSSSSSSSS,
2025-05-30 14:19:35,Swırl,olay ne,
2025-05-30 14:19:36,Muhamet ,satılık PlayStation 5 pro,
2025-05-30 14:19:37,SS,neyse dayı sorun yoktur bence endişe etmeyin bu kadar,
2025-05-30 14:19:38,Emre Savas,robocap 2 var mu abi,
2025-05-30 14:19:41,Carsen Edwards ,sess,
2025-05-30 14:19:41,AdemCan1,olay ne yeni geldim,
2025-05-30 14:19:42,Ccy,Sinirlendi gibi ,
2025-05-30 14:19:44,Can,Yayını 5 k yapalım pike yapalım,
2025-05-30 14:19:45,BuraKarasu58,sesss gg abi,
2025-05-30 14:19:45,orhanizm cemiyeti,Ya Vergi Dairesinden Geldiler Ya Da Ticaret İl Müdürlüğünden Geldiler ikisinden biri,
2025-05-30 14:19:46,games hack,aynen o yüzden mi buyuk firmalara surekli gdier gösterip 2m ciro yapıp 10bin kdv ödüyor gormesek bilmesek neyse :face_with_tears_of_joy:,
2025-05-30 14:19:48,Shorts Türk ,geldi ceza,
2025-05-30 14:19:49,Faruk Kocak,dün polis bugün maliye ne oluyoruz?,
2025-05-30 14:19:50,berkay gürbüz,ses gg,
2025-05-30 14:19:50,Emre ,@Muhamet fiyat ?,
2025-05-30 14:19:50,Fugue B,sesi açıp kapatıyorum 5 dakikadır ya :grinning_face: ,
2025-05-30 14:19:51,Atakan K,Dev Arşivi japonlar satın alıyor pazarlık yapılıyor japonca ,
2025-05-30 14:19:53,Emre Can Erdoğan,Ankara satılık gow ragnarok ps5 cızıksız,
2025-05-30 14:19:58,Luckyhero,tabela olmayınca işyeri ruhsatı içinde gelmiş olabilirler gerçi ona belediye zabıta bakar ama tabela yok girelim demişlerdir,
2025-05-30 14:20:00,Benjamin Linus,:red_circle: Lütfen spam yapmaktan kaçının! Aynı mesajı tekrar tekrar yazmak sohbetin düzenini bozuyor. Uymayanlar uyarılır veya sohbetten çıkarılır. Kurallara uyalım! :folded_hands::speech_balloon:,
2025-05-30 14:20:00,Huayra,Ses,
2025-05-30 14:20:01,@burak,kürtler vadisi Cahit geldi,
2025-05-30 14:20:01,Tilki,Rutin maliye ziyareti bir şey yok,
2025-05-30 14:20:02,Carsen Edwards ,noldu,
2025-05-30 14:20:02,Dogus,like atın,
2025-05-30 14:20:09,Mustafa GÜNER,SESİ KENDI KAPATTI KAMERA CEVRILMIS DEMEK KI GOZUKMEMESI GEREKEN BI SEY AKIL EDEMIYONUZ MU,
2025-05-30 14:20:10,Muhamet ,35 k CD 5 tane var,
2025-05-30 14:20:13,İnformationForyou,Bence sorun falan yok beyler Endişelenmeyin halleder,
2025-05-30 14:20:17,Utku Atalay Yıldız,yav chate laf etmen herkes zeki olacak diye bi şey yok az sakin olun ahahahahha,
2025-05-30 14:20:17,orhanizm cemiyeti, Vergi Dairesinden ve ya Ticaret İl Müdürlüğünden gelmişler,
2025-05-30 14:20:18,Can,sesi kendi kapatti,
2025-05-30 14:20:22,MuhSiN Grl,abi dükkan nerde yarın gellecem,
2025-05-30 14:20:23,Ramazan Oğuz ESEN,TOMA GELDİ,
2025-05-30 14:20:25,Ocan Sarıca,Rahat olun Taner abi her şeyi kuralına göre yapıyor,
2025-05-30 14:20:28,Arda Küçük,tabela as diye uyarı geldi herhalde :D,
