datetime,author,message,superChat
2025-06-05 15:59:14,Scrapmaker,Abi psp satiyo musun,
2025-06-05 15:59:14,metin tapan,Selam abi ,
2025-06-05 15:59:14,Alper Mocan,@Buğramollax Dijital mi CD'li mi,
2025-06-05 15:59:15,kano,"@Nelo2s selam, hg",
2025-06-05 15:59:17,Kadir,hediyeyi açar mısın abi,
2025-06-05 15:59:17,maraz ali,:hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving::hand-pink-waving:,
2025-06-05 15:59:26,Eyup,Abi switch 2 bugün çıktı cyverpunk 2077 falan açıyor alınırmı,
2025-06-05 15:59:26,Ahmet akif Durmaz,hediye açsana,
2025-06-05 15:59:26,Nis2004,@baxdet geçerli,
2025-06-05 15:59:27,61Veysel61,Abi nezaman aksamlari yayin yapican,
2025-06-05 15:59:27,Oktay,Dükkanda klima var mı?,
2025-06-05 15:59:28,Buğramollax,cdli,
2025-06-05 15:59:30,Mazlum Oğuz,pes5 var mı abi elinde fiyat nedir?,
2025-06-05 15:59:30,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 15:59:32,Zeynep Nisa,Müşteri çok beklemedi mi ? Hazır dükkan boşken bitirsen ,
2025-06-05 15:59:33,BATIKAN,hediyeyi açar mısın abi,
2025-06-05 15:59:35,Aytug,t-shirt iyiymiş usta,
2025-06-05 15:59:36,OBK,abi hediyeyi açsana merak ettim @Konsol Oyun ,
2025-06-05 15:59:41,Emirhan ,Abiii 2.el series s ne kadar ,
2025-06-05 15:59:41,baxdet,@Nis2004 teşekkür ederim,
2025-06-05 15:59:41,Mehmet Eser,Arkadaşlar iphoneda katıl butonu yok mu bende görünmüyor ,
2025-06-05 15:59:42,Anıl Can Kemiksiz,kamera bugün biraz puslu mu bana mı öyle geliyor ,
2025-06-05 15:59:43,Yusuf,fifalar satılıyo mu abi,
2025-06-05 15:59:45,kop,evet abi dükkanda klima varmı?,
2025-06-05 15:59:45,modrıx.bs14,abihediyeyi acsana merak ettık.,
2025-06-05 15:59:48,Ramazan ŞAHİN,KOLONYAN NE ABİ,
2025-06-05 15:59:48,emir Can,Nba2k23 kaç tl ye satarsın ,
2025-06-05 15:59:48,Zümrüdüanka,@scrapmaker 300gb boş yer var mafiayı mı silip tekrar yükleyeyim,
2025-06-05 15:59:51,maraz ali,taner abi sen cok yasa,
2025-06-05 15:59:51,Nis2004,@baxdet ne demek,
2025-06-05 15:59:51,Rəsul Allahquliyev,2,
2025-06-05 15:59:52,Emrecan Güler,ah be abi,
2025-06-05 15:59:52,BATIKAN,hediyeyi açar mısın abi,
2025-06-05 15:59:53,kano,@maraz Ali hoş geldin,
2025-06-05 15:59:56,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:00:00,Oktay,dükkanda klima var mı ,
2025-06-05 16:00:01,Llarona,hediyeyi ac,
2025-06-05 16:00:01,Unknown,.,
2025-06-05 16:00:04,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:00:05,Usta Oyuncu,abi xbox series s varmı varsa fiyatı ne kadar,
2025-06-05 16:00:08,Ahmet akif Durmaz,hediyeyi aç,
2025-06-05 16:00:10,stoptrying2begod,taner abi sen harbiden kkrraalllsiiinnnn,
2025-06-05 16:00:10,BATIKAN,hediyeyi açar mısın abi,
2025-06-05 16:00:12,Berat Kaan,ah be,
2025-06-05 16:00:13,Kenan Vural,kolonya degil Abi sidik :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,
2025-06-05 16:00:15,Mehmet Eser,Hediyeyi aç,
2025-06-05 16:00:20,61Veysel61,Abi mindseye oyunu sende iyi olurmu,
2025-06-05 16:00:21,Onur ,hediye aç abi,
2025-06-05 16:00:29,Buğramollax,@alpermocan,
2025-06-05 16:00:30,Kubilay Dede,Yurtdışından Alis verişi yapıyor musunuz?,
2025-06-05 16:00:36,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın?,
2025-06-05 16:00:38,Ramazan ŞAHİN,@Kenan Vural ÇOK KOMİK,
2025-06-05 16:00:43,modrıx.bs14,abi hediyeyi acsana merak ettık ,
2025-06-05 16:00:48,Turkeryoutube,hediye aç,
2025-06-05 16:00:50,stace,"Xbox one,kinect ve oyun cdlleri alırmısın abi",
2025-06-05 16:00:50,Usta Oyuncu,abi xbox series s varmı varsa fiyatı ne kadar,
2025-06-05 16:00:53,Onur ,hediye aç abi,
2025-06-05 16:00:55,Yusuf,fifalar satılıyo mu abi,
2025-06-05 16:00:58,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:00:59,Emrecan Güler,@Kenan Vural tam dayaklıksın,
2025-06-05 16:01:00,kop,HEDİYEYI AC,
2025-06-05 16:01:00,Emirhan ,Abiii 2. El series s ne kadar ,
2025-06-05 16:01:11,Buğramollax,horizon Zero Dawn satıyorum,
2025-06-05 16:01:14,stoptrying2begod,abi sakalda oruk iyiydi kesmeseydin yavv,
2025-06-05 16:01:15,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:01:18,OBK,abi çok merak ettik yanda açsan a,
2025-06-05 16:01:18,Hasan Akkus,abi sakallar iyi olmuş,
2025-06-05 16:01:19,Ahmet akif Durmaz,hediyeyi aç,
2025-06-05 16:01:23,Onur ,aç ne olcak abi,
2025-06-05 16:01:24,XREYDLE,sen nabıyon ya,
2025-06-05 16:01:24,Usta Oyuncu,abi xbox series s varmı varsa fiyatı ne kadar,
2025-06-05 16:01:24,mecrincxv,hediyeye bakalım,
2025-06-05 16:01:27,Kadir,niye ki abi,
2025-06-05 16:01:28,Okan Türkmen ,"Abi bir günü sağlam cihaz seçmeye ayıralım, hem gelen müşteri beklememis olur hemde senin işin hızlanır",
2025-06-05 16:01:28,maraz ali,taner abi afiyet olsun,
2025-06-05 16:01:28,♕Baran,Arkadaşlar çift kol ps5 slim 13 bine aldım iyimidir,
2025-06-05 16:01:31,AyhanNesirov,aç abi lütfen,
2025-06-05 16:01:33,Scrapmaker,@Buğramollax kaca satiyon,
2025-06-05 16:01:34,AYKUT ÖVET,çift kollu temiz ps5 alabilirim,
2025-06-05 16:01:37,kop,ABİ DUKKANDA KLIMA VARMI=,
2025-06-05 16:01:39,Kayahan Kaya,TANER ABİ GAMER OLSANA SDŞLFHSDOFHSDF,
2025-06-05 16:01:51,İsmail Karadağ,hediye yı âç abi (YOĞUN) İSTEK,
2025-06-05 16:01:58,Yusuf İsa Çakıroğlu,abi kaç mm lens kullanıyorsun söylermisin rica etsem,
2025-06-05 16:01:58,Furkan Esen,bulodböğrnn değil bıladborn,
2025-06-05 16:02:02,Mikail Canlı,Pek müşteri yok heralde,
2025-06-05 16:02:05,Rüzgar Güler,abi ps indirimlerini bakman çok eğlenceliydi yine yapar mısın,
2025-06-05 16:02:05,XREYDLE,sen dükkanda nabıyon yasak olmayan,
2025-06-05 16:02:07,Buğramollax,@Scrapmaker 400,
2025-06-05 16:02:09,Berke CAN V1,arkada dishonored var abi,
