datetime,author,message,superChat
2025-05-28 17:39:04,Menacious,zamanlık bir şey değil bencce ya aldığı oyunu a ise en başa z ise en sona koya koya bir yerden sonra kendi kendine sıralanır o raf,
2025-05-28 17:39:04,Muhammet Ali Aktaş,@Melih Belci KANKA DİGİTALDEN ALIYORUZ DEMEK İSTEDİM HER HESAP İÇİN,
2025-05-28 17:39:05,Bidone d'oro,Pes 13 pes 21 pesin en çok oynanan versiyonları..klasik ve koleksiyonluk,
2025-05-28 17:39:12,Osman Aras Yeşilkaya,slmmmlar iyi yyaınlar ,
2025-05-28 17:39:12,Alpay T,sa,
2025-05-28 17:39:17,Berat Çağatay koç ,days gone,
2025-05-28 17:39:17,hal9000,hoşgeldiniz hoşgeldiniz meraba meraba hoşgeldiniz hoşgeldiniz meraba merabahoşgeldiniz hoşgeldiniz meraba meraba,
2025-05-28 17:39:19,r/AskMen,çok tehlikeli,
2025-05-28 17:39:23,cs2ceat,bitane abi bırakıp gitti,
2025-05-28 17:39:26,Pasego,As,
2025-05-28 17:39:26,manyak oyuncu,beeeeeeeeeeeeeeeeezin,
2025-05-28 17:39:28,Ömür Çankaya,yandaki binaya girdi,
2025-05-28 17:39:29,Cristiano Ronaldo,Benim ,
2025-05-28 17:39:32,nobody,tamer abi ps5 i getirsem kaça sayarsın 2 kol slim cdli,
2025-05-28 17:39:35,Hamed Seydalzadeh,benim o motor,
2025-05-28 17:39:39,Mucahit Musashi,Patlarsa sıkıntı ,
2025-05-28 17:39:42,Bay_gaming,Abi ben pes 2021 aldım 400 tl ye ufak çiziklerş var internette ne kadara satarım,
2025-05-28 17:39:44,Burak,Binaya girdi sahibi ,
2025-05-28 17:39:46,Ugur,Satılık sıfıra yakın ps4 düşünen olursa 1 tb,
2025-05-28 17:39:46,Konser_Tv,Olaylı yayın :face_with_tears_of_joy:,
2025-05-28 17:39:46,Ahmet Yavuz,ben gördüm kaskla bı abi koydu kimdir tanımıyorum da,
2025-05-28 17:39:47,Cihan Partlak,bir motora elli kişi benim dedi yav,
2025-05-28 17:39:50,Haktan Türksoylu,cok ilginc abi cok ilginc,
2025-05-28 17:39:51,AFS,@nobody almiyor,
2025-05-28 17:39:56,jokemoke241,Geliyorum sigarayi icip,
2025-05-28 17:39:57,Osman Aras Yeşilkaya,dddd,
2025-05-28 17:40:00,Hashimoff,Ses,
2025-05-28 17:40:00,madenci,arkadaşlar oraya gidip çakmak çakmayınız lütfen,
2025-05-28 17:40:09,axmet,patlıcak,
2025-05-28 17:40:09,Alpay T,mevzu ne,
2025-05-28 17:40:10,Muhammet Ali Aktaş,ABİM ALLAH İÇİN SEN KARIŞMA DUR ,
2025-05-28 17:40:11,çınar aksoy,@menacious knk sen yorum yapma çok biliyorsan git dükkan aç,
2025-05-28 17:40:14,SoulPower77,biri çakmak yaksak gümler,
2025-05-28 17:40:15,Ozmnn,Adam hiç durmuyo helal olsun valla,
2025-05-28 17:40:16,Bulut Seven,sa,
2025-05-28 17:40:16,Hamed Seydalzadeh,çay,
2025-05-28 17:40:19,Felina,benim abi gelcem birazdan almaya,
2025-05-28 17:40:30,Burak,Binaya girdi motorun sahibi ,
2025-05-28 17:40:34,Menacious,çınar sadece merak edip sordum bir soru bana katılanlar da oldu niye takılıyorsun bana ,
2025-05-28 17:40:40,Furkan Behiç,31 tl abi ya kandırma adamı,
2025-05-28 17:40:41,zphaxe,depom çatladı 3dkyaya geliyorum,
2025-05-28 17:40:45,madenci,arkadaşlar motorun oraya torpil atmayan lütfen valla havaya uçarlar,
2025-05-28 17:40:47,Hamed Seydalzadeh,motor gitmesin ben yakacam orayı benzini,
2025-05-28 17:40:57,SoulPower77,PİRE GİBİ HERŞEYE YETİŞİYO,
2025-05-28 17:41:02,Mucahit Musashi,Tost cihazı olmayan dükkan mı olur ,
2025-05-28 17:41:12,monqlis4,vay benim üçkağıtçı abim napiyon,
2025-05-28 17:41:12,qexe,tost,
2025-05-28 17:41:13,Jaguar Desenli Sütyen,motorun 700 tane sahibi çıktı ,
2025-05-28 17:41:15,Furkanveneco,sana ne @menacious çok soru sorma,
2025-05-28 17:41:16,Lisa,@Hamed hayırdır?,
2025-05-28 17:41:18,axmet,tost,
2025-05-28 17:41:23,Çağan,Ses gidiyor,
2025-05-28 17:41:29,ali paksoy,"Arkadaşlar büyük harf kullanmayalım, spam yapmayalım, sevgi, saygı ve nezaket kurallarına uyalım, müşteriler hakkında yorum yaparken dikkatli olalım. Ban sebebidir. Teşekkürler, iyi seyirler :)",
2025-05-28 17:41:34,SoulPower77,POLİS GELDİ,
2025-05-28 17:41:35,ensa ri,abi ragnarök var mı kaç tl (yayında bu tür sorualara izin var mı bilmiyorum çok katılmadım hatalıysam özür dilerim),
2025-05-28 17:41:37,Menacious,ulan kanal sizin mi işinize bakın ,
2025-05-28 17:41:38,TheUmut12,Kolay Gelsin Başkan İyi yayınlar,
2025-05-28 17:41:41,Ahmet Yavuz,bugün iyi ticaret yaptık abi valla,
2025-05-28 17:41:43,TemetNTI,"Merhaba Taner hocam, sahibinden xbox series x linkimi paylaşabilir miyim",
2025-05-28 17:41:45,IKnowledge,polis geldi abi,
2025-05-28 17:41:45,madenci,aha olay çıktı,
2025-05-28 17:41:45,Bu This is,Motor 750 kişinin çıktı. rıza baba,
2025-05-28 17:41:50,Cristiano Ronaldo,ABİ SELSM NASILOSI. ,
2025-05-28 17:41:51,Ömür Çankaya,motorun sahibi yandaki binaya girdi,
2025-05-28 17:41:52,Kendine Profesyönel,kralım şelaleyi açmışız,
2025-05-28 17:41:52,Cihan Partlak,ahahahhaha,
2025-05-28 17:41:53,bünyamin karatahta,oki doki,
2025-05-28 17:41:56,Hamed Seydalzadeh,motor benim,
2025-05-28 17:41:57,Levent Koçak,polis geldi,
2025-05-28 17:41:57,Samet Akpınar,Hulk,
2025-05-28 17:42:00,Yusuf Özsoy,motorun altına kap koysunlar benzin pahalı satarızzzzz,
2025-05-28 17:42:05,cenk ataç,Koltuk altı terlemiş t shirt değişikliği lazım ,
2025-05-28 17:42:05,İsmail Kandemir,kamerayı çevişr abi,
2025-05-28 17:42:06,Konser_Tv,Polis gelmiş,
2025-05-28 17:42:06,r/AskMen,sigara içilmesi tehlikeli benzin akıtıyor. polis sigara içiyor şaka mı bu sahne,
2025-05-28 17:42:07,Gİacomo Puccini,NBA 2K14 VAR MI ABİ,
2025-05-28 17:42:08,rs3love,polisin elinde sigara var benzine bakıyor la,
2025-05-28 17:42:09,Çağan,Ses kesiliyor,
2025-05-28 17:42:10,Pasego,Polislere selam verek,
2025-05-28 17:42:10,Furkan Behiç,kaslarım var anneeee,
2025-05-28 17:42:11,Bu This is,Polis geldi. motorun sahibi kimse,
2025-05-28 17:42:12,Furkanveneco,o zaman boş konuşma ,
2025-05-28 17:42:15,SoulPower77,POLİS GELDİ BİR KONUŞŞSAN ,
2025-05-28 17:42:16,Eren Yılmaz,polisi çekmek sıkıntı olabilir ,
2025-05-28 17:42:16,Dorukhan KARGI,Aynı oyunları seri olarak yanyana dizer misin taner abi,
2025-05-28 17:42:18,Ahmet Yavuz,güzel ticaretimizi yaptık şükür,
2025-05-28 17:42:18,ReiS_06,benzin akitiyo diyolar polisin elinde cigara xdd,
2025-05-28 17:42:19,Bilal Sezgin,almaya geliyorum abi hemen ehliyetim yok polisler gitsin bi,
