datetime,author,message,superChat
2025-06-04 16:17:32,Hasanucrs,ne boş yaptın reis ya,
2025-06-04 16:17:37,NightMare,2.5 al abi,
2025-06-04 16:17:38,Tilki,Fifa gg,
2025-06-04 16:17:39,Gitar z,yokk,
2025-06-04 16:17:43,Alperen Karakurt,bu nasıl bi muabbet ya,
2025-06-04 16:17:46,Sawjix,fifasi bos,
2025-06-04 16:17:48,VORTEX,oki doki,
2025-06-04 16:17:49,keskin bakış,FIFA düştü,
2025-06-04 16:17:49,Yusuf Özsoy,al al,
2025-06-04 16:17:53,NightMare,2.5 a alınır abi,
2025-06-04 16:17:55,Gökhan Erer,fifası düitü,
2025-06-04 16:17:55,Ofka_34,Ver ver abi 2500 olsun,
2025-06-04 16:17:56,Berat Polat,oğlan parasının arkasında koşuyo olum size ne :D,
2025-06-04 16:17:56,Muhammet Eren,FIFA,
2025-06-04 16:17:59,İbrahim Bora Kaya,abi keyifsiz bir ticaret oluyor,
2025-06-04 16:18:03,Cenk Gürdal,fifa,
2025-06-04 16:18:06,KENNEDYRİTTO,adam zorluyor ya,
2025-06-04 16:18:08,HmiQHPhQ,2.5 iyi fiyat ,
2025-06-04 16:18:10,Bilal Sezgin,"2,5 okey",
2025-06-04 16:18:10,Ömerağa,la fifa düştü,
2025-06-04 16:18:14,Oraletoloji,1 tane fifa boş diğer fifa21 düştü kolonyanın önüne beyler spamlayın,
2025-06-04 16:18:16,FarzetkiWorks,FİFA ADAMIN ALO,
2025-06-04 16:18:17,Rabiz,güzel manipüle :D,
2025-06-04 16:18:20,Owl,1 tanesinin içi boştu almayı unutma onu hocam,
2025-06-04 16:18:22,Serkan ipek,fafa düşmüş,
2025-06-04 16:18:22,mert yaşar,ps3 unutma abi cihazın için de,
2025-06-04 16:18:25,keskin bakış,FIFA düştü,
2025-06-04 16:18:26,Wokalio,adamları bekeltiyor ayip zaten almiycak oyunları boşa bekletiyor egooooo,
2025-06-04 16:18:27,E. Deniz Ercan,FİFA DÜŞTÜ,
2025-06-04 16:18:32,Berat Polat,ucuza aldı diyince taner abiye laf ediyonuz pazarlık yapan adama da laf ediyonuz,
2025-06-04 16:18:33,Mustafa,Abi al 2500 ,
2025-06-04 16:18:35,keskin bakış,FIFA düştü,
2025-06-04 16:18:38,Emre Kantarcı,FİFA DÜŞTÜ ABİ,
2025-06-04 16:18:39,bcnuh,fifası düştü alo,
2025-06-04 16:18:39,Berdan Yüce,fifa,
