datetime,author,message,superChat
2025-06-01 17:17:43,Asim Bey,duvarı izliyor çünkü millet,
2025-06-01 17:17:47,fatih,yurtdisindan ps4 console geritsel allirmissin,
2025-06-01 17:17:58,Celal b,abi ortalıgı toplar misin,
2025-06-01 17:17:59,TheRosegarden,"amazondan alacaksan eğer alabilirsin ama satıcı da amazon olsun, ben teknosadan aldım online ps5",
2025-06-01 17:18:10,Kadir Köse,pahalıya aldın yalnız,
2025-06-01 17:18:15,R3M1X,inanılmaz uyuz oldum cocuga,
2025-06-01 17:18:21,furkan öztürk,.,
2025-06-01 17:18:22,Mert Dişkaya,satıcı farklı firmalar ama gönderici amazon problem olur mu dostum?,
2025-06-01 17:18:22,Selim ,pahalı oldu,
2025-06-01 17:18:27,Bilal Sezgin,kamera niye böyle,
2025-06-01 17:18:40,fatih,turkiydede ps4.consol allinmi,
2025-06-01 17:18:51,TheRosegarden,satıcı kim ?,
2025-06-01 17:18:54,Çağatayy.2,Kamera Çevirmek çok saçma,
2025-06-01 17:18:57,Selim ,max 500 ,
2025-06-01 17:19:00,Mustafa eren yüksel,Fotoğraf için gelmeyin be abi,
2025-06-01 17:19:14,ArsenalAce,abi merhaba paten satıyorum ilan no paylaşsam sıkıntı olur mu,
2025-06-01 17:19:15,Mert Dişkaya,bi sürü firma var tavsiye ettiğin var mı?,
2025-06-01 17:19:17,Emre Yücel,arkadaşlar bu Hepsiburada falan kutulu oyun satan elemanlar guvenilirmidir sizce. oyunların orhinal ambalajının içinde olduğunu iddia ediyorlar ama guvenemiyorum,
2025-06-01 17:19:26,Devran,,TRY 11.00
2025-06-01 17:19:36,RuhumLord,abi kamerayı düzelt istersen,
2025-06-01 17:19:43,Çağatayy.2,45 dakika kamera böyle,
2025-06-01 17:19:44,Vitorallah,Hey,
2025-06-01 17:19:47,Serhatiron,@Konsol Oyun abi ben almanyadayim elimde birsuru oyun var sana kac tane getirirsen alabilirsin veya ozel bir istegin var mi seviliyiyorsun,
2025-06-01 17:19:57,UmutVR,XBOX box one x i kaça satıyor arkadaş,
2025-06-01 17:20:00,MERT TANHAN ,abi kamerayı düzelte bilirmisin,
2025-06-01 17:20:03,Mustafa eren yüksel,Kamerayı düzelt,
2025-06-01 17:20:33,Çağatayy.2,sabır,
2025-06-01 17:20:34,SERKAN AKTAŞ,gözleme yuvarla bir patatesli salla akşam akşam iyi gider,
2025-06-01 17:20:48,Sezgin İz,3.500₺ olursa okey ,
2025-06-01 17:20:51,Ilhan,chat anlamıyor musunuz gelen cocuklar 18den kucuk ,
2025-06-01 17:20:56,Celal b,abi bu adamlar kim,
2025-06-01 17:21:05,Çağatayy.2,way arkadaş yaa,
2025-06-01 17:21:23,TheRosegarden,"satıcıları bilmediğim için yorum yapamıyacağım baktımda, belki şoktan online da satılıyor diye gördüm",
2025-06-01 17:21:30,Celal b,18 den kücükleri alma lütfen dükkana abi ,
2025-06-01 17:21:39,Muphy GT,hayırlı pazarlar abi kolay gelsin.,
2025-06-01 17:22:15,Osman Aras Yeşilkaya,iyi yayınlar,
2025-06-01 17:22:18,Çağatayy.2,yayın sabote oluyor resmen,
2025-06-01 17:22:21,Osman Aras Yeşilkaya,kaçırdım yayınıya,
2025-06-01 17:22:34,Kadir,dükkana bir yardımcı alsa her şey daha güzel olacak,
2025-06-01 17:22:50,Costliness,sonradan görmelerden nefret ediyorum,
2025-06-01 17:22:55,Çağatayy.2,yayındayız ama ama,
2025-06-01 17:22:59,HIRSLI PUBG,yanındaki uzaktan kız sandım,
2025-06-01 17:23:06,Fatih miraç Kulu,sa,
2025-06-01 17:23:14,CEM GÜÇ,kapatıyodu demın noldu nıye kapamadı,
2025-06-01 17:23:26,Çağatayy.2,çıkalım yaa saat 6 oldu ha,
2025-06-01 17:23:26,Mustafa eren yüksel,Bi iş bu kadar uzun süremez,
2025-06-01 17:23:34,Emulatör Kralı,evt harbiden kapatıcam dedi,
2025-06-01 17:23:45,Sonsamuray,deprem mi oldu sanki ,
2025-06-01 17:24:00,Fatih miraç Kulu,en fazla 5 dolar veririm,
2025-06-01 17:24:00,Çağatayy.2,sıkıldıkk,
2025-06-01 17:24:27,Emulatör Kralı,bizi düşürdü Taner abi :D,
2025-06-01 17:24:32,Yedekhesap Yesekhesap,SELAMLAR,
2025-06-01 17:24:39,Tolga Ersoy,Yoksa yok daha olsaydıyı boşver kardeşim ya,
2025-06-01 17:25:07,FATİH DÖNMEZ,sonundaaaaa,
2025-06-01 17:25:39,HIRSLI PUBG,beyler kalın kasayla normal kasanın arasında sadece görüntü farkımı var,
2025-06-01 17:25:48,Fatih miraç Kulu,herkes Allah'a emanet ven kaçar,
2025-06-01 17:25:56,Mert Dişkaya,"şokta gördüm, güvenilir mi ps5 almak şokdan",
2025-06-01 17:25:57,Baran Kezman,abim hayırlı günler bir sorum olacaktı,
2025-06-01 17:26:04,Benjamin Linus,":red_circle: Yayının sonuna geldik! Katılan, sohbet eden, destek veren herkese teşekkürler. Çıkmadan önce bir Like bırakmayı ve abone olmayı unutmayın. Bir sonraki yayında görüşmek üzere, kendinize iyi bakın!",
2025-06-01 17:26:34,Çağatayy.2,dünkü yayın daha iyiydi ha,
2025-06-01 17:26:34,Kadir,bu fotoğraf merakı nedir arakadaş ya adam bunların yüzünden ekstra enerji harcamak zorunda kalıyor,
2025-06-01 17:26:35,ArsenalAce,abi merhaba paten satıyorum ilan no paylaşsam sıkıntı olur mu,
2025-06-01 17:26:51,Mustafa eren yüksel,Ses görüntü gidicelk diyorsun kamerasyı çevir o zaman,
2025-06-01 17:27:08,Mehmet Akif,as,
2025-06-01 17:27:13,Çağatayy.2,çıkıyorum artık yeter abonelikte düşer,
2025-06-01 17:27:16,Azat,Benjamin yayın devam ediyor,
2025-06-01 17:27:36,TheRosegarden,"teknoloji şans işi biraz, ne olacağını bilemezsin. ",
2025-06-01 17:27:50,Go Kalp,abi yarın açıl mısın,
2025-06-01 17:27:52,Furkan Sarıkaya,bitymedimi hala :D,
2025-06-01 17:27:53,Mustafa eren yüksel,Ses görüntü gidicelk diyorsun kamerasyı çevir o zaman,
2025-06-01 17:27:55,Hamit Kulat,Taner abi yurtdışından kapaklı kutu oyun getirmek mantıklı mı ,
2025-06-01 17:27:56,Burak Gülmez,Abi selam ps2 fifa11 tekken 5 bakugan gibi oyunlarım var ama kutuları yok para eder mi değeri var mıdır? Kolay gelsin,TRY 109.99
2025-06-01 17:28:08,Kadir,@Go Kalp yarın kapalı,
2025-06-01 17:28:18,アタカン,etmez,
2025-06-01 17:28:30,Azat,Bakugan ı kaça bırakırsın,
2025-06-01 17:28:31,Flori Mumajesi,Benjamin ayarlıyamıyorsun yayının sonunu kanki:),
2025-06-01 17:28:32,Ferhat Yarğın,Ps5 satan var mı ,
2025-06-01 17:28:35,Mustafa eren yüksel,500'e alırım,
2025-06-01 17:28:49,3dyasin,5 dolar vereyim,
2025-06-01 17:28:51,Deniz Kaya,Küçük ekranı büyütüp izleyenler:raised_hand:,
2025-06-01 17:28:51,eren can,kutusuz oyun çiziktir. çizik oyunda para etmez. oyunları özenl,
