datetime,author,message,superChat
2025-05-31 18:32:59,ismoq,Shadows kaç TL,
2025-05-31 18:33:00,Burak Aydın,ben anlamadım ne yorgunlugu 4-5 saat calısıyorsun calısmıyorsun ne yorgunlugu yanı,
2025-05-31 18:33:02,shiynex,ikinci el ps5 min. kaça olur,
2025-05-31 18:33:07,Erkan Ayyildiz,Kral dükkanın değeri ne kadar ,
2025-05-31 18:33:10,Navtex,abi memurlar bile 8 saat çalışıyor,
2025-05-31 18:33:12,Berkan CAN,online site açılacak mı abi ? oyun için,
2025-05-31 18:33:21,Mehmethan,yok,
2025-05-31 18:33:23,Dorukhan KARGI,Mail attım size gün içinde geri dönüş yaparsanız ,
2025-05-31 18:33:25,Nemesis_Bt,Abi ps3 super slim 2 ci el kaça satarım?,
2025-05-31 18:33:26,Bartu,Abi ps portal 6700 liraya satsam nasıl ,
2025-05-31 18:33:27,Gojo,taner abi elinde ps5 oyunları var mı,
2025-05-31 18:33:27,siriusfcd,pazarlık olmazsa olmaz ben de öyleyim,
2025-05-31 18:33:32,MUC1T INC.,abi çiziliince ne oluyo oyuna,
2025-05-31 18:33:33,Sawjix,sat,
2025-05-31 18:33:34,berkan can kara,İkinci el PS5 pro yurt dışı cihaz 25 Kaya’ya mantıklı mı,
2025-05-31 18:33:34,shiynex,ikinci el ps5 min. kaça olur,
2025-05-31 18:33:34,tuncay sancak,arşivdeki oyunları ve psplerin deneyerek satışa çıkartman lazım yoksa bu kira ödenmez,
2025-05-31 18:33:36,VanessaValo,sat gitsin abi,
2025-05-31 18:33:39,İsmail Sincar,rafa diz ya,
2025-05-31 18:33:40,Kadir,hitman o reis,
2025-05-31 18:33:47,Gönülden nağmeler 78,abi arşive ata ata elinde oyun kalmayacak :face_with_tears_of_joy:,
2025-05-31 18:33:48,efe ışık,hitman abi ne assasin creedi kskssksks,
2025-05-31 18:33:50,m1sthioS,pc'de bedava oldu bu oyun,
2025-05-31 18:33:51,Berkan CAN,online site açılacak mı abi ? oyun için,
2025-05-31 18:33:55,fatih eser,20 tl,
2025-05-31 18:33:57,Mehmethan,bana ver,
2025-05-31 18:33:59,Ali samet Şenel,Pspleri satmaya başlasana abim ,
2025-05-31 18:34:00,Mete Soylu,KAÇ YILDIR ARŞİV YAPIYORSUN ?,
2025-05-31 18:34:02,Anonymous,Abi koltuk koymak yerine direkt mini yatak koysan yorulunca yatarsın dükkanda,
2025-05-31 18:34:03,Mehmethan,hediye ıakhdıslfjk,
2025-05-31 18:34:06,Black Eagle,Hitman'in son oyunu abi o,
2025-05-31 18:34:06,İbrahim Aşıker,100 liraya çizik Aliyon hediye veriyon abi yapma zarar,
