datetime,author,message,superChat
2025-05-29 16:06:07,Ehlikeyf,Naber,
2025-05-29 16:06:13,Umut Ali Durak,abi selamın aleyküm hayırlı işler,
2025-05-29 16:06:23,Jimmy ,Zoom yapın görünüyor kürdün teki,
2025-05-29 16:06:24,gökhan,bi kıymalı gözleme göm kendine gel abi çökmüşsün,
2025-05-29 16:06:25,Snojkopo7,abi gözleme mi gözleme mi ?,
2025-05-29 16:06:25,Yağız Mert Yılmaz,parayı koyudug yere bak,
2025-05-29 16:06:27,Zaferpm ,otelci geldi,
2025-05-29 16:06:40,Losint,@Sevchenko Valesquez farkındaysan sana fiyat sormadım ilgilenen olursa diye yazıyorum,
2025-05-29 16:06:45,rıfat demir,@Fevernova cd kolay kolay çizilmez düzgün kullanırsan normalde genelde çok uzun süre kullanınca çizilir ben zannetmiyorum pantalonuna sürünce çizileceğine ,
2025-05-29 16:06:46,AZURA,İki raf ps5 iki raf ps4 kalanı 3 cd doldursa rahat edecek,
2025-05-29 16:06:50,Neeeee,,€5.99
2025-05-29 16:06:54,Berkay Çetin,Çapulcu esnafı ya,
2025-05-29 16:06:56,Sevchenko Valesquez,@Losint 3500 veriyorum zaten xD,
2025-05-29 16:06:59,Swırl,2000,
2025-05-29 16:07:03,Fevernova,2 ver,
2025-05-29 16:07:04,gökhan,masa süper temiz diyenler+1,
2025-05-29 16:07:09,Emre Savas,:face-green-smiling:,
2025-05-29 16:07:13,dvd kulak,ne çökmesi la adamın göbeği görmüyor musunuz,
2025-05-29 16:07:14,Mehmethan,2k,
2025-05-29 16:07:21,xDeno38x,Neeeeeğyyyy,
2025-05-29 16:07:22,ibrahim yılmaz,2 ver kral,
2025-05-29 16:07:25,Umut ,bugün yine gününde abim maşallah ,
2025-05-29 16:07:29,Losint,@Sevchenko Valesquez ben vermiyorum XdxdXDdxDxd JKSAHDGHASG,
2025-05-29 16:07:31,Snojkopo7,bide gözleme ısmarla,
2025-05-29 16:07:31,Flexin,2k ver kral,
2025-05-29 16:07:31,gökhan,abi kıymalı göm çökmüşsün,
2025-05-29 16:07:33,Mehmet Deniz,+1,
2025-05-29 16:07:35,Yusuf Ensar Yurdakul,hakketten abi bazen fiyatı acayip öldürüyon,
2025-05-29 16:07:39,fatih,selamm,
2025-05-29 16:07:47,Kürşat Aşkın,2000 ver kral çocuk alışsın,
2025-05-29 16:07:51,Sevchenko Valesquez,@Losint verme aga o paraya vercek enayi bulursan başka başarılar,
2025-05-29 16:08:08,Losint,@Sevchenko Valesquez buldum zaten xdXDdxDXDxdXDdxD,
2025-05-29 16:08:08,Fevernova,başkasını yersin hoca bu çocuğu yeme,
2025-05-29 16:08:12,gökhan,gözleme ısmarla cocuga gelişim çağı +1,
2025-05-29 16:08:13,Lionel Tolunay,VERME ÇOCUK VERME,
2025-05-29 16:08:11,Helen, pantolona silme be abi,
2025-05-29 16:08:21,Said Şahin,gözünü seviyim bir fiber optik bez al artık ,
2025-05-29 16:08:26,Hamit Mert Çetinkaya,Bu çocuğa yap bi güzellik be,
2025-05-29 16:08:30,isyanqar26fanclub ,çizikse niye rafta o oyun,
2025-05-29 16:08:30,Erdem Kocyigit,kanka t-shirt varken niye pantalon tercih edersin ki,
2025-05-29 16:08:32,Adm Zmz,bi bez aldıramadık ya la şuuu adama,
2025-05-29 16:08:33,Yiğit Özdemir,BF 5 DIJITALDE 100 TL,
2025-05-29 16:08:33,Sevchenko Valesquez,gökhan gözlemede protein mi var aw,
2025-05-29 16:08:40,Snojkopo7,gözleme ısmarlarsan bence sürekli gelir abi,
2025-05-29 16:08:40,zafer varhan,kotla daha fazla cizdi :D,
2025-05-29 16:08:43,Helen,çocuğa harbiden güzellik yao,
2025-05-29 16:08:44,xDeno38x,CD için bez yok mu be ,
2025-05-29 16:08:46,orhun,battlefield 5 279 tl psnde,
2025-05-29 16:08:49,Cem Mert Turgut,ya abi bu oyunların ps5 versiyonları var neden ps5 sahibi insanlar ps4 cdsi alıyor,
2025-05-29 16:08:50,Onur Arslan,abi insatgramdan yazdım bakarmisin,
2025-05-29 16:08:53,Tuğrul Ergün,gelme o zaman yayında adam biliyon,
2025-05-29 16:08:54,Virtuosite,Hayırlı akşamlar.,
2025-05-29 16:08:55,gökhan,kıyma var ya dostum içinde,
2025-05-29 16:08:57,Texan,lütfen çocuğa güzellik yap bağış atarız,
2025-05-29 16:09:09,Vluncy,poşet müq.d,
2025-05-29 16:09:10,akcagok,"küçük bişey var diyorsun satmıyorsun,çiziği niye alıyorsunabi.valla her gün aynı muhabbet sinirim bozuluyor",
2025-05-29 16:09:11,hüseyin ARLI,sa bebegim,
2025-05-29 16:09:16,gökhan,poşet süper gözleme ısmarla +321,
2025-05-29 16:09:20,Ferhat Kızılbeyli,"annesiyle gelmiş, bi güzellik yapalım taner hocam",
2025-05-29 16:09:21,VORTEX,Tişörtü degistir reis,
2025-05-29 16:09:25,Emre DÖNGEL,- Her yer dağınık - poşet yok - içerisi havasız her gelen terliyor. Ah be canım abim,
2025-05-29 16:09:30,XxomwrxX,selam abi bende ps3 var 15 16 tane oyun var ps3 oyunları ama hdmi bozuk ,
2025-05-29 16:09:32,Lionel Tolunay,annesi verme annesii,
2025-05-29 16:09:34,Snojkopo7,gözleme iyi gelir şu saatte abi gözleme ye,
2025-05-29 16:09:35,gökhan,abi çizik madem niye rafa koydun geri,
2025-05-29 16:09:35,Erdal-dvc,posete 100tl,
